17:43:30.930 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
17:43:32.437 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,212] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
17:43:32.826 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,54] - limitTime:5.0
17:43:32.864 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,49] - isMultiInstance:false
17:43:32.898 [main] INFO  c.t.a.RuoYiAuthApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
17:43:35.983 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
17:43:35.984 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
17:43:35.985 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.38]
17:43:36.396 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
17:43:37.671 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:43:37.679 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:43:37.987 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
17:43:38.552 [main] INFO  c.a.n.client.naming - [call,64] - initializer namespace from System Property :null
17:43:38.553 [main] INFO  c.a.n.client.naming - [call,73] - initializer namespace from System Environment :null
17:43:38.553 [main] INFO  c.a.n.client.naming - [call,83] - initializer namespace from System Property :null
17:43:41.109 [main] INFO  c.a.n.client.naming - [processServiceJson,217] - init new ips(0) service: DEFAULT_GROUP@@tcoiss-auth -> []
17:43:41.119 [main] INFO  c.a.n.client.naming - [processServiceJson,228] - current ips:(0) service: DEFAULT_GROUP@@tcoiss-auth -> []
17:43:41.120 [main] INFO  c.a.n.client.naming - [addListener,83] - [LISTENER] adding DEFAULT_GROUP@@tcoiss-auth with DEFAULT to listener map
17:43:41.140 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
17:43:41.301 [main] INFO  c.a.n.client.naming - [addBeatInfo,81] - [BEAT] adding beat: BeatInfo{port=9200, ip='172.17.184.114', weight=1.0, serviceName='DEFAULT_GROUP@@tcoiss-auth', cluster='DEFAULT', metadata={preserved.register.source=SPRING_CLOUD}, scheduled=false, period=5000, stopped=false} to beat map.
17:43:41.303 [main] INFO  c.a.n.client.naming - [registerService,223] - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@tcoiss-auth with instance: Instance{instanceId='null', ip='172.17.184.114', port=9200, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={preserved.register.source=SPRING_CLOUD}}
17:43:41.312 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tcoiss-auth 172.17.184.114:9200 register finished
17:43:41.880 [main] INFO  c.t.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 12.05 seconds (JVM running for 13.278)
17:43:41.930 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,262] - [fixed-127.0.0.1_8848] [subscribe] tcoiss-auth-dev.yml+DEFAULT_GROUP
17:43:41.933 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,93] - [fixed-127.0.0.1_8848] [add-listener] ok, tenant=, dataId=tcoiss-auth-dev.yml, group=DEFAULT_GROUP, cnt=1
17:43:41.933 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,262] - [fixed-127.0.0.1_8848] [subscribe] tcoiss-auth.yml+DEFAULT_GROUP
17:43:41.934 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,93] - [fixed-127.0.0.1_8848] [add-listener] ok, tenant=, dataId=tcoiss-auth.yml, group=DEFAULT_GROUP, cnt=1
17:43:41.934 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,262] - [fixed-127.0.0.1_8848] [subscribe] tcoiss-auth+DEFAULT_GROUP
