11:13:22.230 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
11:13:23.300 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,212] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
11:13:23.638 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,54] - limitTime:5.0
11:13:23.680 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,49] - isMultiInstance:false
11:13:23.708 [main] INFO  c.t.f.FileApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
11:13:26.988 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9300"]
11:13:26.988 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
11:13:26.989 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.38]
11:13:27.961 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
11:13:29.699 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
11:13:30.346 [main] INFO  c.a.n.client.naming - [call,64] - initializer namespace from System Property :null
11:13:30.347 [main] INFO  c.a.n.client.naming - [call,73] - initializer namespace from System Environment :null
11:13:30.349 [main] INFO  c.a.n.client.naming - [call,83] - initializer namespace from System Property :null
11:13:30.761 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - [initHandlerMethods,69] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
11:13:30.836 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11:13:30.846 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11:13:32.629 [main] INFO  c.a.n.client.naming - [processServiceJson,217] - init new ips(0) service: DEFAULT_GROUP@@tcoiss-file -> []
11:13:32.645 [main] INFO  c.a.n.client.naming - [processServiceJson,228] - current ips:(0) service: DEFAULT_GROUP@@tcoiss-file -> []
11:13:32.647 [main] INFO  c.a.n.client.naming - [addListener,83] - [LISTENER] adding DEFAULT_GROUP@@tcoiss-file with DEFAULT to listener map
11:13:32.665 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9300"]
11:13:32.751 [main] INFO  c.a.n.client.naming - [addBeatInfo,81] - [BEAT] adding beat: BeatInfo{port=9300, ip='172.17.184.114', weight=1.0, serviceName='DEFAULT_GROUP@@tcoiss-file', cluster='DEFAULT', metadata={preserved.register.source=SPRING_CLOUD}, scheduled=false, period=5000, stopped=false} to beat map.
